GrantIDs	Counter
MRF_MRF-060-0003-RG-SMITH	3
MCLAUGHLIN/OCT15/957-799	3
MR/K01014X/1	1
G0500289	11
U54 NS091046	1
P50 AG005146	23
P01 AG017586	12
R56 NS061867	1
U54 NS092091	1
R35 NS097261	2
R01 MD009164	37
R01 NS061867	1
MR/L016397/1	5
FRATTA/JAN15/946-795	3
SHAW/APR15/933-794	2
SMITH/APR16/847-791	2
MC_PC_17115	2
TURNER/OCT18/989-797	1
P30 AG013846	40
I01 BX002466	1
R01 NS073873	8
K23 ES027221	1
Z01 AG000949	22
TURNER/JAN13/944-795	1
G0600974	19
SMITH/OCT16/888-792	1
MR/R024804/1	8
ALCHALABI-DOBSON/APR14/829-791	7
P01 NS084974	2
SHAW/NOV14/985-797	4
MALASPINA/APR13/817-791	3
K25 HL121295	3
G0900688	16
R01 AI043596	3
K23 AI108790	1
R01 AI026649	1
R37 AI026649	3
RF1 AG060472	1
P01 AG031719	3
P30 AG034424	12
G1000861	21
MC_PC_12010	14
MR/N005953/1	10
MR/P00167X/1	4
MC_U120085815	5
RG/19/6/34387	5
MC-A651-53301	1
1D43CA153792–01	1
1U54HG006947	1
IRG-18-160-16	1
VR 2013-3862	1
090532, 106130, 098381, 203141, 212259, 095101, 200837, 099673/Z/12/Z	1
APP1103623	2
MC_PC_15018	103
R01 MH058799	4
5P50HD028138-27	2
DE180100976	1
CH/12/2/29428	6
NF-SI-0617-10090	4
P50 HD028138	9
086596	7
APP1104818	1
MC_UU_12013/4	70
U01 CA182913	9
APP1137714	1
T32 HG002295	9
R01 AR073178	1
K12 HD043483	14
R01 DK114091	1
P30 DK116074	12
RE/18/6134217	1
R21 DC018098	3
F32 MH122058	5
R21 DA047527	4
R33 DA047527	3
K23 DK114551	4
MR/P012167/1	6
T32 HL007901	6
MR/M005070/1	13
R01 DK107859	11
R35 HL135818	20
F32 DK102323	8
L30 DK106874	3
R01 DK105072	11
K23 HL004464	3
R01 HL117191	5
T32 GM007546	10
K01 HL138098	2
R01 MD011764	2
R01 HL149693	1
R01 HL088133	14
R01 HL079966	6
S10 OD018522	42
S10 OD026880	8
R01 CA175491	4
U01 HG004603	27
U01 HL041642	2
U01 HL041654	4
R01 ES025216	1
UL1 TR001409	4
U01 HL041652	4
P42 ES010349	7
R01 HL109315	2
R01 HL109319	3
R01 HL109284	3
R01 HL109282	1
P30 ES009089	17
R01 HL090863	1
KL2 TR001432	1
U01 HL065521	2
U01 HL065520	4
R01 ES021367	3
P30 ES010126	72
I01 BX001205	1
I01 RX002744	1
R01 MH106595	7
U10 CA180821	10
UG1 CA233180	4
U10 CA180882	5
U10 CA180820	6
UG1 CA233253	2
U10 CA180888	3
R01 CA143237	12
UG1 CA233373	2
U24 CA196171	8
UG1 CA233327	3
2016-057-IRMC	1
2017-202-IRMC	1
2018-094-IRMC	1
R01 MH106611	3
R21 MH099370	2
none	1
K01 MH109772	3
P30 GM103328	2
MC_PC_17217	7
104036/Z/14/Z	25
MR/S003061/1	15
MR/N013166/1	3
MC_PC_17209	6
R01 NS102161	1
R01 HL059367	158
K24 HL155861	2
HHSN268201700002C	17
